Topic,BARTScore
49ers,-0.8516665101051331
Amazon,-1.0451464653015137
Beyonce,-1.4078775644302368
Chicago,-2.1930646896362305
Christmas,-1.4475274085998535
Eagles,-1.8033573627471924
Facebook,-1.2814770936965942
Flu,-1.611672282218933
Graduation,-1.5113171339035034
Grammys,-1.6441298723220825
Iphone,-0.9371270537376404
Kobe,-0.733052670955658
McDonalds,-0.7063882946968079
NBA,-0.8148173093795776
NYC,-1.6949210166931152
Netflix,-1.281219482421875
Obama,-1.6505602598190308
Paris,-2.3176896572113037
Patriots,-1.086175560951233
Seahawks,-1.239993929862976
Superbowl,-1.371373176574707
Thanksgiving,-0.8856097459793091
VMA,-2.012122631072998
WWE,-1.25935959815979
Xbox,-1.1032565832138062
