Topic,BARTScore
49ers,-0.782299280166626
Amazon,-1.6837670803070068
Beyonce,-1.5501878261566162
Chicago,-0.8872306942939758
Christmas,-2.6216022968292236
Eagles,-1.2608790397644043
Facebook,-0.6675282716751099
Flu,-1.1989331245422363
Graduation,-2.6724202632904053
Grammys,-1.9450185298919678
Iphone,-1.294511318206787
Kobe,-0.7287806868553162
McDonalds,-1.536354422569275
NBA,-0.6568816304206848
NYC,-0.8446112871170044
Netflix,-0.8638002276420593
Obama,-1.3050507307052612
Paris,-0.8914617300033569
Patriots,-2.1321182250976562
Seahawks,-1.7752007246017456
Superbowl,-2.3791344165802
Thanksgiving,-0.8596083521842957
VMA,-1.3864874839782715
WWE,-1.3538038730621338
Xbox,-0.7856965661048889
