Topic,Representation Gap
49ers,0.0
Amazon,0.3333333333333333
Beyonce,0.3333333333333333
Chicago,0.0
Christmas,0.3333333333333333
Eagles,0.3333333333333333
Facebook,0.3333333333333333
Flu,0.0
Graduation,0.3333333333333333
Grammys,0.0
Iphone,0.0
Kobe,0.6666666666666667
McDonalds,0.3333333333333333
NBA,0.6666666666666667
NYC,0.6666666666666667
Netflix,0.3333333333333333
Obama,0.6666666666666667
Paris,0.6666666666666667
Patriots,0.3333333333333333
Seahawks,0.0
Superbowl,0.3333333333333333
Thanksgiving,0.3333333333333333
VMA,0.3333333333333333
WWE,0.3333333333333333
Xbox,0.3333333333333333
