Topic,SUPERT
49ers,0.5499331310895827
Amazon,0.4670801072192041
Beyonce,0.6081711486943051
Chicago,0.5037569058892474
Christmas,0.6170724511866464
Eagles,0.5800693152225183
Facebook,0.5856876946203939
Flu,0.42905967138289547
Graduation,0.5286994778928261
Grammys,0.5222044148290641
Iphone,0.4950091888156676
Kobe,0.6663136585563783
McDonalds,0.5436366929091063
NBA,0.5503778824688677
NYC,0.46889511770941295
Netflix,0.5963879711295711
Obama,0.6294534661494453
Paris,0.6518808343584072
Patriots,0.5790874239575501
Seahawks,0.605634126169787
Superbowl,0.478401934406082
Thanksgiving,0.5557185526752736
VMA,0.4221083864324027
WWE,0.7093962300993313
Xbox,0.6947907660140812
