Topic,BARTScore
49ers,-1.5023747682571411
Amazon,-1.5012233257293701
Beyonce,-3.5781261920928955
Chicago,-1.204645037651062
Christmas,-1.764155626296997
Eagles,-0.8616370558738708
Facebook,-2.774961471557617
Flu,-2.34159517288208
Graduation,-1.619796872138977
Grammys,-2.636977195739746
Iphone,-3.416733980178833
Kobe,-1.0500502586364746
McDonalds,-0.9549945592880249
NBA,-0.9890412092208862
NYC,-1.0361305475234985
Netflix,-1.0702797174453735
Obama,-1.2840371131896973
Paris,-1.4809308052062988
Patriots,-2.419240713119507
Seahawks,-1.0304774045944214
Superbowl,-1.5620150566101074
Thanksgiving,-1.2919670343399048
VMA,-1.274000883102417
WWE,-3.039807081222534
Xbox,-0.6297136545181274
