Topic,BARTScore
49ers,-2.085655450820923
Amazon,-0.7005883455276489
Beyonce,-2.2814464569091797
Chicago,-3.0790367126464844
Christmas,-2.60038161277771
Eagles,-0.716569721698761
Facebook,-1.1487162113189697
Flu,-2.106405735015869
Graduation,-3.8501651287078857
Grammys,-2.399355173110962
Iphone,-2.634753942489624
Kobe,-0.7548186182975769
McDonalds,-1.7867703437805176
NBA,-3.8851113319396973
NYC,-0.7327730655670166
Netflix,-0.7881933450698853
Obama,-1.6122535467147827
Paris,-0.6403058171272278
Patriots,-2.482043743133545
Seahawks,-0.6471015810966492
Superbowl,-2.239501953125
Thanksgiving,-0.9052160382270813
VMA,-1.8450868129730225
WWE,-1.9479646682739258
Xbox,-0.9806441068649292
