Topic,SUPERT
49ers,0.5559838775202139
Amazon,0.6050280308263679
Beyonce,0.46354126474289703
Chicago,0.5253087200807725
Christmas,0.4953985120563232
Eagles,0.47652781891396007
Facebook,0.5884195161705682
Flu,0.39968536595185816
Graduation,0.5177677888091238
Grammys,0.5623552573287226
Iphone,0.5619989160628767
Kobe,0.4625214452451966
McDonalds,0.5416810321422736
NBA,0.5478588607591101
NYC,0.44634927421310033
Netflix,0.5808198627847274
Obama,0.6183862227308673
Paris,0.5685437581309869
Patriots,0.5099586270324069
Seahawks,0.5039619474093411
Superbowl,0.4161243470662346
Thanksgiving,0.6400184124582009
VMA,0.40798500206647725
WWE,0.6324913175037714
Xbox,0.5854223905295952
