Topic,BARTScore
49ers,-2.2154624462127686
Amazon,-1.0938080549240112
Beyonce,-0.9506193399429321
Chicago,-1.8464874029159546
Christmas,-2.2936301231384277
Eagles,-2.126325845718384
Facebook,-1.7165130376815796
Flu,-2.3894755840301514
Graduation,-1.973807692527771
Grammys,-0.7993301749229431
Iphone,-1.7692021131515503
Kobe,-2.1072936058044434
McDonalds,-3.1889588832855225
NBA,-0.9856622219085693
NYC,-1.7397282123565674
Netflix,-0.941405177116394
Obama,-0.9611144065856934
Paris,-2.22987961769104
Patriots,-1.5978225469589233
Seahawks,-1.6353683471679688
Superbowl,-2.7821450233459473
Thanksgiving,-1.6070178747177124
VMA,-2.210127353668213
WWE,-2.143218517303467
Xbox,-3.1316568851470947
