Topic,BARTScore
49ers,-1.5332108736038208
Amazon,-2.848278522491455
Beyonce,-2.8346481323242188
Chicago,-1.8919525146484375
Christmas,-2.220773935317993
Eagles,-1.2593095302581787
Facebook,-1.1984145641326904
Flu,-1.1592711210250854
Graduation,-1.5337014198303223
Grammys,-2.785968542098999
Iphone,-2.1448919773101807
Kobe,-3.3711097240448
McDonalds,-1.4646714925765991
NBA,-1.7257304191589355
NYC,-2.1111996173858643
Netflix,-0.8880425691604614
Obama,-2.685096025466919
Paris,-1.925464153289795
Patriots,-2.1129658222198486
Seahawks,-0.754532516002655
Superbowl,-3.2024030685424805
Thanksgiving,-1.0456819534301758
VMA,-2.968935966491699
WWE,-0.5648900866508484
Xbox,-2.8255879878997803
