Topic,Representation Gap
49ers,0.6666666666666667
Amazon,0.3333333333333333
Beyonce,0.3333333333333333
Chicago,0.6666666666666667
Christmas,0.3333333333333333
Eagles,0.6666666666666667
Facebook,0.0
Flu,0.3333333333333333
Graduation,0.0
Grammys,0.3333333333333333
Iphone,0.3333333333333333
Kobe,0.6666666666666667
McDonalds,0.3333333333333333
NBA,0.0
NYC,0.0
Netflix,0.3333333333333333
Obama,0.0
Paris,0.6666666666666667
Patriots,0.0
Seahawks,0.0
Superbowl,0.0
Thanksgiving,0.6666666666666667
VMA,0.0
WWE,0.3333333333333333
Xbox,0.0
