Topic,BLANC-help,BLANC-tune
49ers,0.1843220338983051,0.16101694915254236
Amazon,0.1377952755905512,0.17519685039370078
Beyonce,0.1340782122905028,0.1154562383612663
Chicago,0.13011152416356878,0.13382899628252787
Christmas,0.13414634146341464,0.13211382113821138
Eagles,0.15447154471544716,0.10569105691056911
Facebook,0.10097087378640776,0.1087378640776699
Flu,0.15338645418326693,0.11752988047808766
Graduation,0.09108910891089109,0.06534653465346535
Grammys,0.14770459081836326,0.1317365269461078
Iphone,0.16182572614107885,0.15145228215767634
Kobe,0.12762237762237763,0.12937062937062938
McDonalds,0.13131313131313133,0.10303030303030303
NBA,0.10059171597633136,0.04142011834319527
NYC,0.09409190371991247,0.05908096280087528
Netflix,0.12943632567849686,0.18789144050104384
Obama,0.10638297872340426,0.09284332688588008
Paris,0.13737373737373737,0.1292929292929293
Patriots,0.17684210526315788,0.12631578947368421
Seahawks,0.13218390804597702,0.12835249042145594
Superbowl,0.2023121387283237,0.16184971098265896
Thanksgiving,0.11949685534591195,0.1320754716981132
VMA,0.08726415094339622,0.04716981132075472
WWE,0.1284796573875803,0.057815845824411134
Xbox,0.14717741935483872,0.15725806451612903
