Topic,BARTScore
49ers,-2.180694818496704
Amazon,-0.7562475800514221
Beyonce,-0.9348793029785156
Chicago,-1.0613552331924438
Christmas,-1.64309561252594
Eagles,-1.3666083812713623
Facebook,-1.6291855573654175
Flu,-1.7589952945709229
Graduation,-1.273295283317566
Grammys,-2.406337022781372
Iphone,-2.053645133972168
Kobe,-1.8468151092529297
McDonalds,-2.2263567447662354
NBA,-1.1399893760681152
NYC,-2.009291648864746
Netflix,-2.3293395042419434
Obama,-1.732561707496643
Paris,-2.0863733291625977
Patriots,-1.1057734489440918
Seahawks,-1.0677086114883423
Superbowl,-0.6718325018882751
Thanksgiving,-2.1037776470184326
VMA,-0.6538050770759583
WWE,-1.1535836458206177
Xbox,-2.396475076675415
