Topic,SUPERT
49ers,0.46709716985815775
Amazon,0.4887316691930475
Beyonce,0.5709307667972593
Chicago,0.4668238408268688
Christmas,0.604336785786998
Eagles,0.48111874806565147
Facebook,0.5169796750406209
Flu,0.4668775812870038
Graduation,0.4666938417996103
Grammys,0.4753437086130421
Iphone,0.46753309969629586
Kobe,0.5047475867868632
McDonalds,0.5556091459573566
NBA,0.5326315946797839
NYC,0.49452092155633126
Netflix,0.47589331758074527
Obama,0.45847406495330406
Paris,0.4964096041406148
Patriots,0.4845112223001948
Seahawks,0.4792030193509911
Superbowl,0.44640144509016966
Thanksgiving,0.5063885513504118
VMA,0.45208479383716715
WWE,0.4866705392263648
Xbox,0.5919891759469165
