Topic,BARTScore
49ers,-1.5373308658599854
Amazon,-1.266478180885315
Beyonce,-1.1306771039962769
Chicago,-1.7407240867614746
Christmas,-0.8024159073829651
Eagles,-1.2550570964813232
Facebook,-3.468768835067749
Flu,-2.133507490158081
Graduation,-1.688196063041687
Grammys,-1.469688057899475
Iphone,-1.4113997220993042
Kobe,-2.632967472076416
McDonalds,-2.588819980621338
NBA,-2.629909038543701
NYC,-2.6529693603515625
Netflix,-0.8551971912384033
Obama,-1.7757441997528076
Paris,-2.913393974304199
Patriots,-1.8697028160095215
Seahawks,-1.4672415256500244
Superbowl,-1.1818102598190308
Thanksgiving,-3.3270461559295654
VMA,-2.05022931098938
WWE,-2.6605710983276367
Xbox,-1.1274617910385132
