Topic,SQA
49ers,0.15857695347118397
Amazon,0.14584304584304586
Beyonce,0.13931610056610055
Chicago,0.1612976908090413
Christmas,0.05209928039385404
Eagles,0.04941984572497805
Facebook,0.054187192118226604
Flu,0.035309973045822104
Graduation,0.03289473684210526
Grammys,0.01847826086956522
Iphone,0.01639344262295082
Kobe,0.09621387511214533
McDonalds,0.0
NBA,0.08086990671627423
NYC,0.10831174278875812
Netflix,0.09937584302773592
Obama,0.11745227414417818
Paris,0.19821313641839966
Patriots,0.08071778388487866
Seahawks,0.046768386953721354
Superbowl,0.0
Thanksgiving,0.10413993516486593
VMA,0.005495874938873377
WWE,0.06691297208538588
Xbox,0.0
