Topic,SUPERT
49ers,0.5184893188343055
Amazon,0.5506233646784215
Beyonce,0.5412303458977946
Chicago,0.49496547677668024
Christmas,0.5354479978380132
Eagles,0.5490233891510304
Facebook,0.6372308450259276
Flu,0.4397287327110977
Graduation,0.5604503799406609
Grammys,0.493342500907687
Iphone,0.46637231855511774
Kobe,0.5523002457134816
McDonalds,0.5021360573942257
NBA,0.562888827685146
NYC,0.4177503473744249
Netflix,0.5610338770986651
Obama,0.5171937777099415
Paris,0.5582791050288811
Patriots,0.5005867217392486
Seahawks,0.5148739250216978
Superbowl,0.429854079206946
Thanksgiving,0.6102804208221623
VMA,0.43572380844870995
WWE,0.5059197681278021
Xbox,0.6166113988831365
