Topic,BARTScore
49ers,-2.04170560836792
Amazon,-1.8521686792373657
Beyonce,-3.0836877822875977
Chicago,-1.6762046813964844
Christmas,-0.8453632593154907
Eagles,-1.553419589996338
Facebook,-1.4080229997634888
Flu,-1.8813015222549438
Graduation,-2.012054681777954
Grammys,-1.5998742580413818
Iphone,-1.459840178489685
Kobe,-0.8723593950271606
McDonalds,-1.358870506286621
NBA,-1.0859227180480957
NYC,-1.2623950242996216
Netflix,-0.9161669611930847
Obama,-2.008925199508667
Paris,-2.217766523361206
Patriots,-1.1329444646835327
Seahawks,-2.0764496326446533
Superbowl,-0.7181792855262756
Thanksgiving,-1.3638256788253784
VMA,-2.586674451828003
WWE,-2.2126779556274414
Xbox,-2.8944590091705322
