Topic,Representation Gap
49ers,0.3333333333333333
Amazon,0.0
Beyonce,0.3333333333333333
Chicago,0.0
Christmas,0.0
Eagles,0.3333333333333333
Facebook,0.0
Flu,0.0
Graduation,0.0
Grammys,0.3333333333333333
Iphone,0.0
Kobe,0.0
McDonalds,0.3333333333333333
NBA,0.3333333333333333
NYC,0.6666666666666667
Netflix,0.3333333333333333
Obama,0.3333333333333333
Paris,0.3333333333333333
Patriots,0.3333333333333333
Seahawks,0.0
Superbowl,0.0
Thanksgiving,0.0
VMA,0.3333333333333333
WWE,0.3333333333333333
Xbox,0.3333333333333333
