Topic,BARTScore
49ers,-1.1639844179153442
Amazon,-1.6775118112564087
Beyonce,-2.27612566947937
Chicago,-2.2348849773406982
Christmas,-1.9213389158248901
Eagles,-0.9426460266113281
Facebook,-1.614373803138733
Flu,-2.5925328731536865
Graduation,-1.574248194694519
Grammys,-2.1375997066497803
Iphone,-3.397280216217041
Kobe,-3.8698208332061768
McDonalds,-2.588930368423462
NBA,-1.3468602895736694
NYC,-1.4699985980987549
Netflix,-1.1716876029968262
Obama,-1.855238437652588
Paris,-2.1426103115081787
Patriots,-2.6196200847625732
Seahawks,-2.3597254753112793
Superbowl,-0.7467311024665833
Thanksgiving,-2.0164244174957275
VMA,-1.8796777725219727
WWE,-2.4032270908355713
Xbox,-2.8050129413604736
