Topic,Representation Gap
49ers,0.0
Amazon,0.3333333333333333
Beyonce,0.3333333333333333
Chicago,0.6666666666666667
Christmas,0.0
Eagles,0.4285714285714286
Facebook,0.0
Flu,0.3333333333333333
Graduation,0.0
Grammys,0.0
Iphone,0.3333333333333333
Kobe,0.3333333333333333
McDonalds,0.3333333333333333
NBA,0.3333333333333333
NYC,0.0
Netflix,0.3333333333333333
Obama,0.3333333333333333
Paris,0.0
Patriots,0.6666666666666667
Seahawks,0.0
Superbowl,0.0
Thanksgiving,0.3333333333333333
VMA,0.6666666666666667
WWE,0.6666666666666667
Xbox,0.3333333333333333
