Topic,SQA
49ers,0.13005408311172723
Amazon,0.20161093533229754
Beyonce,0.1382119916816674
Chicago,0.12308165090631144
Christmas,0.04709018384675996
Eagles,0.04905458473979069
Facebook,0.03783783783783783
Flu,0.025
Graduation,0.048899129544290834
Grammys,0.024242424242424242
Iphone,0.011966202909599136
Kobe,0.06557891764766238
McDonalds,0.001590693257359924
NBA,0.04706392753316351
NYC,0.14048375431280405
Netflix,0.2836344823940999
Obama,0.09650161742912426
Paris,0.10013668867261778
Patriots,0.06926987097212917
Seahawks,0.043674919363353666
Superbowl,0.05003373250126497
Thanksgiving,0.08784950860687187
VMA,0.004168837936425222
WWE,0.043067846607669616
Xbox,0.015527950310559004
