Topic,coherence,consistency,fluency,overall
49ers,0.028933388796306865,0.5279609149835328,0.6200062778081579,0.39230019386266585
Amazon,0.015351619111198868,0.4243139714693169,0.5355244743075952,0.3250633549627036
Beyonce,0.046487473339864055,0.43433371283270533,0.7211960100651104,0.4006723987458933
Chicago,0.21676618014040075,0.21155209442606482,0.29536596014851435,0.24122807823832662
Christmas,0.18170646831838552,0.4267779524108159,0.6440182505577046,0.4175008904289686
Eagles,0.03326963970362614,0.5433342260426832,0.7843020450537781,0.4536353036000292
Facebook,0.06983901774265272,0.36718663146917774,0.5683176172849367,0.33511442216558907
Flu,0.17548530179794036,0.17291208504819564,0.6830152871906258,0.3438042246789206
Graduation,0.004606398689279591,0.04826909470663431,0.09149719801277259,0.048124230469562164
Grammys,0.009370339138342851,0.377642190250058,0.5890145306160905,0.32534235333483047
Iphone,0.025560255352269374,0.16750148718462926,0.33073347303380835,0.17459840519023564
Kobe,0.19725663544328348,0.3436029412295701,0.47588806841551057,0.33891588169612136
McDonalds,0.3029908579716411,0.5094653049891196,0.7729709373596069,0.5284757001067892
NBA,0.7313554723365377,0.5155516917671817,0.729050538614568,0.6586525675727625
NYC,0.009548980545374236,0.20326269844346906,0.5152149974639497,0.24267555881759764
Netflix,0.06799221396740576,0.28585213140504756,0.4738568957481042,0.27590041370685253
Obama,0.0032183758040706632,0.6128679374533904,0.6196193539699695,0.41190188907581016
Paris,0.18054500109934232,0.38434283943094355,0.6612569411889019,0.40871492723972924
Patriots,0.006425742722351573,0.1459789905313836,0.20554527524559507,0.11931666949977675
Seahawks,0.08789353999213632,0.2718995323483864,0.6673983488825462,0.3423971404076897
Superbowl,0.27359358836693437,0.5526538263539376,0.7460772342587086,0.5241082163265268
Thanksgiving,0.007153377922023593,0.16389768400662674,0.44256793602968825,0.20453966598611287
VMA,0.005265310927263881,0.5802121282934223,0.7175157483853516,0.43433106253534587
WWE,0.3097741366290674,0.3904848940562555,0.760234335096722,0.4868311219273483
Xbox,0.23791882717394175,0.2981996310795524,0.47621653276201414,0.33744499700516944
