Topic,SQA
49ers,0.1871292287958955
Amazon,0.21108864223051077
Beyonce,0.13833604533493052
Chicago,0.13869012883549656
Christmas,0.04709018384675996
Eagles,0.03639342381172447
Facebook,0.003316503316503316
Flu,0.025297619047619048
Graduation,0.048899129544290834
Grammys,0.024242424242424242
Iphone,0.028644688644688644
Kobe,0.06557891764766238
McDonalds,0.001590693257359924
NBA,0.07100442813204516
NYC,0.11598570462667825
Netflix,0.2611750650617682
Obama,0.11274822118336475
Paris,0.09207261544571696
Patriots,0.07007779353677483
Seahawks,0.032556834048767136
Superbowl,0.09366391184573003
Thanksgiving,0.05250482272725086
VMA,0.005449841030390408
WWE,0.04325747998314369
Xbox,0.014492753623188404
