Topic,BLANC-help,BLANC-tune
49ers,0.14313725490196078,0.13137254901960785
Amazon,0.1225296442687747,0.1482213438735178
Beyonce,0.09792843691148775,0.047080979284369114
Chicago,0.11538461538461539,0.07692307692307693
Christmas,0.1298449612403101,0.1434108527131783
Eagles,0.10836501901140684,0.0817490494296578
Facebook,0.08045977011494253,0.08045977011494253
Flu,0.06349206349206349,0.011904761904761904
Graduation,0.05303030303030303,0.08143939393939394
Grammys,0.12103174603174603,0.0992063492063492
Iphone,0.09125475285171103,0.058935361216730035
Kobe,0.14233576642335766,0.10218978102189781
McDonalds,0.09418837675350701,0.12224448897795591
NBA,0.050816696914700546,0.0018148820326678765
NYC,0.08176100628930817,0.041928721174004195
Netflix,0.1350293542074364,0.10371819960861056
Obama,0.09800362976406533,0.0852994555353902
Paris,0.07368421052631578,0.08947368421052632
Patriots,0.09541984732824428,0.11259541984732824
Seahawks,0.10881801125703565,0.08442776735459662
Superbowl,0.1599229287090559,0.1579961464354528
Thanksgiving,0.125,0.08901515151515152
VMA,0.10434782608695652,0.07173913043478261
WWE,0.07276507276507277,0.006237006237006237
Xbox,0.09940357852882704,0.11530815109343936
