Topic,BARTScore
49ers,-1.570131540298462
Amazon,-1.6951528787612915
Beyonce,-2.5325822830200195
Chicago,-1.877671241760254
Christmas,-1.9213389158248901
Eagles,-0.8713144659996033
Facebook,-1.0613750219345093
Flu,-2.8979668617248535
Graduation,-1.574248194694519
Grammys,-2.1375997066497803
Iphone,-2.324404239654541
Kobe,-3.8698208332061768
McDonalds,-2.588930368423462
NBA,-2.6975343227386475
NYC,-1.6551265716552734
Netflix,-0.6986470222473145
Obama,-1.227530598640442
Paris,-2.3480212688446045
Patriots,-2.4681448936462402
Seahawks,-2.0454883575439453
Superbowl,-1.854974627494812
Thanksgiving,-1.3186850547790527
VMA,-1.5877101421356201
WWE,-1.3551629781723022
Xbox,-3.400590181350708
