Topic,BARTScore
49ers,-1.2820802927017212
Amazon,-1.3719139099121094
Beyonce,-2.417060613632202
Chicago,-1.139729380607605
Christmas,-2.321723461151123
Eagles,-1.8607285022735596
Facebook,-1.9953200817108154
Flu,-2.369150400161743
Graduation,-1.5832167863845825
Grammys,-2.34212064743042
Iphone,-2.2512624263763428
Kobe,-2.2822351455688477
McDonalds,-1.3178938627243042
NBA,-1.7565425634384155
NYC,-1.5372194051742554
Netflix,-2.077092409133911
Obama,-0.7804149985313416
Paris,-3.1411373615264893
Patriots,-1.1349560022354126
Seahawks,-0.8353533148765564
Superbowl,-2.2054944038391113
Thanksgiving,-2.8570399284362793
VMA,-1.272267460823059
WWE,-2.301453113555908
Xbox,-2.0325844287872314
