Topic,Representation Gap
49ers,0.0
Amazon,0.3333333333333333
Beyonce,0.6666666666666667
Chicago,0.0
Christmas,0.0
Eagles,0.6666666666666667
Facebook,0.3333333333333333
Flu,0.3333333333333333
Graduation,0.0
Grammys,0.6666666666666667
Iphone,0.0
Kobe,0.3333333333333333
McDonalds,0.0
NBA,0.3333333333333333
NYC,0.3333333333333333
Netflix,0.6666666666666667
Obama,0.6666666666666667
Paris,0.3333333333333333
Patriots,0.3333333333333333
Seahawks,0.0
Superbowl,0.0
Thanksgiving,0.0
VMA,0.3333333333333333
WWE,0.0
Xbox,0.3333333333333333
