Topic,BARTScore
49ers,-1.0995219945907593
Amazon,-1.6376700401306152
Beyonce,-2.2857937812805176
Chicago,-1.4493415355682373
Christmas,-0.7556223273277283
Eagles,-1.6782077550888062
Facebook,-1.967901349067688
Flu,-1.29361093044281
Graduation,-3.226767063140869
Grammys,-3.231519937515259
Iphone,-2.5009467601776123
Kobe,-1.0998203754425049
McDonalds,-1.867290735244751
NBA,-0.9570249915122986
NYC,-3.7708168029785156
Netflix,-2.148972749710083
Obama,-1.8949743509292603
Paris,-1.7711410522460938
Patriots,-1.4159595966339111
Seahawks,-2.0895774364471436
Superbowl,-1.0151585340499878
Thanksgiving,-1.8401137590408325
VMA,-1.7314540147781372
WWE,-1.392494559288025
Xbox,-2.2523207664489746
