Topic,SUPERT
49ers,0.6324305025935708
Amazon,0.6439820862006519
Beyonce,0.6773020473187776
Chicago,0.46754592974467735
Christmas,0.6958916373491416
Eagles,0.6453565869231168
Facebook,0.7412168034881539
Flu,0.5461037594789866
Graduation,0.6755801008151995
Grammys,0.5480585920961027
Iphone,0.5844478337767717
Kobe,0.5219854778785689
McDonalds,0.5680088556728808
NBA,0.6290632458937937
NYC,0.6578648609873312
Netflix,0.6771166973273723
Obama,0.6499882941974054
Paris,0.628468836289
Patriots,0.5157566451005927
Seahawks,0.6558222002662502
Superbowl,0.5422948129209665
Thanksgiving,0.7189996835468939
VMA,0.6316608545971563
WWE,0.5412315700255736
Xbox,0.7357541672362815
