Topic,BARTScore
49ers,-0.9681827425956726
Amazon,-0.9626107811927795
Beyonce,-0.6594398617744446
Chicago,-2.136976480484009
Christmas,-0.5916578769683838
Eagles,-0.6674094796180725
Facebook,-0.566474974155426
Flu,-0.662001371383667
Graduation,-0.8319108486175537
Grammys,-0.8325993418693542
Iphone,-1.3189833164215088
Kobe,-2.004913091659546
McDonalds,-2.143901824951172
NBA,-0.8024775385856628
NYC,-0.6262727975845337
Netflix,-0.8283290266990662
Obama,-0.9347353577613831
Paris,-0.8689995408058167
Patriots,-0.5827119946479797
Seahawks,-0.6815060973167419
Superbowl,-0.5711381435394287
Thanksgiving,-0.634730875492096
VMA,-0.5801573395729065
WWE,-1.4446446895599365
Xbox,-0.42724767327308655
