Topic,BARTScore
49ers,-0.7071822285652161
Amazon,-1.9405755996704102
Beyonce,-1.5367971658706665
Chicago,-0.7549386024475098
Christmas,-1.0002285242080688
Eagles,-0.929879367351532
Facebook,-1.4646743535995483
Flu,-3.426753282546997
Graduation,-2.7141947746276855
Grammys,-1.208123803138733
Iphone,-1.5608073472976685
Kobe,-0.7590657472610474
McDonalds,-2.3727738857269287
NBA,-3.6865854263305664
NYC,-2.1268458366394043
Netflix,-1.9120640754699707
Obama,-1.6633459329605103
Paris,-2.4057681560516357
Patriots,-0.772343099117279
Seahawks,-1.629984736442566
Superbowl,-1.499436855316162
Thanksgiving,-2.1696014404296875
VMA,-2.124908208847046
WWE,-1.5290929079055786
Xbox,-1.060738444328308
