Topic,SQA
49ers,0.09396255861773103
Amazon,0.12260348583877995
Beyonce,0.035617902785151034
Chicago,0.046222580631442876
Christmas,0.10815321628201238
Eagles,0.042608621066348246
Facebook,0.0
Flu,0.05
Graduation,0.016129032258064516
Grammys,0.016287878787878785
Iphone,0.046153846153846156
Kobe,0.047535450186560635
McDonalds,0.040312421264802216
NBA,0.05048260381593715
NYC,0.04380394691813376
Netflix,0.07535853976531942
Obama,0.046956103428906125
Paris,0.06991651807866166
Patriots,0.08821386742030077
Seahawks,0.05017921146953405
Superbowl,0.045454545454545456
Thanksgiving,0.03002070393374741
VMA,0.009900990099009901
WWE,0.05819138128867864
Xbox,0.002031476206043058
