Topic,BLANC-help,BLANC-tune
49ers,0.17584745762711865,0.13983050847457626
Amazon,0.13976377952755906,0.15354330708661418
Beyonce,0.11731843575418995,0.08379888268156424
Chicago,0.14312267657992564,0.1449814126394052
Christmas,0.15853658536585366,0.1565040650406504
Eagles,0.13414634146341464,0.13821138211382114
Facebook,0.13203883495145632,0.13980582524271845
Flu,0.09163346613545817,0.05776892430278884
Graduation,0.10891089108910891,0.11089108910891089
Grammys,0.14770459081836326,0.09381237524950099
Iphone,0.14315352697095435,0.15767634854771784
Kobe,0.14160839160839161,0.14335664335664336
McDonalds,0.1191919191919192,0.10707070707070707
NBA,0.10256410256410256,0.03550295857988166
NYC,0.09190371991247265,0.06564551422319474
Netflix,0.1440501043841336,0.20041753653444677
Obama,0.11992263056092843,0.13926499032882012
Paris,0.13737373737373737,0.14545454545454545
Patriots,0.15157894736842106,0.10736842105263159
Seahawks,0.10919540229885058,0.07279693486590039
Superbowl,0.18882466281310212,0.15414258188824662
Thanksgiving,0.14255765199161424,0.14465408805031446
VMA,0.1580188679245283,0.08726415094339622
WWE,0.13276231263383298,0.06209850107066381
Xbox,0.14919354838709678,0.17943548387096775
