Topic,SUPERT
49ers,0.5450789723472454
Amazon,0.5586621324722295
Beyonce,0.5780303622458085
Chicago,0.4781094493771169
Christmas,0.49289491754680703
Eagles,0.5267803419706878
Facebook,0.5829931470084512
Flu,0.430612283213123
Graduation,0.4640057022754741
Grammys,0.4980760539178701
Iphone,0.48227229940054195
Kobe,0.528287855595774
McDonalds,0.6333232469667911
NBA,0.5169975023892718
NYC,0.48975284596345325
Netflix,0.6048306708351562
Obama,0.48600701034578475
Paris,0.5716687041584562
Patriots,0.5202224394144314
Seahawks,0.6791414048726547
Superbowl,0.5082883561226431
Thanksgiving,0.6845520546078344
VMA,0.4426528134226632
WWE,0.581288115159412
Xbox,0.6548816323088354
