Topic,BARTScore
49ers,-1.6466277837753296
Amazon,-1.167611002922058
Beyonce,-2.3835275173187256
Chicago,-1.1047600507736206
Christmas,-1.3021390438079834
Eagles,-1.8132821321487427
Facebook,-2.4276466369628906
Flu,-3.093109130859375
Graduation,-1.9104022979736328
Grammys,-2.376455068588257
Iphone,-1.9610430002212524
Kobe,-3.6974685192108154
McDonalds,-1.1461347341537476
NBA,-1.3462835550308228
NYC,-1.3398284912109375
Netflix,-2.8137362003326416
Obama,-0.7424102425575256
Paris,-0.9839831590652466
Patriots,-2.294902801513672
Seahawks,-0.6408596038818359
Superbowl,-2.217228889465332
Thanksgiving,-0.9855555891990662
VMA,-0.9628809094429016
WWE,-2.612677812576294
Xbox,-1.9055324792861938
