Topic,SQA
49ers,0.05952380952380952
Amazon,0.10409497020684391
Beyonce,0.07041805227838262
Chicago,0.0501474137911198
Christmas,0.07197083961789845
Eagles,0.05170927318295739
Facebook,0.0547820823244552
Flu,0.08333333333333333
Graduation,0.05660377358490566
Grammys,0.038502787165321926
Iphone,0.02
Kobe,0.06400337126000843
McDonalds,0.03508771929824561
NBA,0.044850948509485095
NYC,0.09394744679919415
Netflix,0.06432870370370371
Obama,0.034482758620689655
Paris,0.055022885008528984
Patriots,0.055297758027022734
Seahawks,0.0556959786168711
Superbowl,0.049420442571127494
Thanksgiving,0.09917027417027416
VMA,0.03632246376811594
WWE,0.0837184622231351
Xbox,0.029177718832891247
