Topic,BARTScore
49ers,-2.0085718631744385
Amazon,-2.5822224617004395
Beyonce,-1.103689432144165
Chicago,-2.5919339656829834
Christmas,-1.5367026329040527
Eagles,-1.7191718816757202
Facebook,-2.685220718383789
Flu,-2.1900174617767334
Graduation,-0.9036659598350525
Grammys,-1.226346492767334
Iphone,-2.4731838703155518
Kobe,-1.7114672660827637
McDonalds,-2.0341646671295166
NBA,-0.6910201907157898
NYC,-1.2564195394515991
Netflix,-0.8913636207580566
Obama,-1.848671793937683
Paris,-2.608093023300171
Patriots,-2.8587887287139893
Seahawks,-2.0478293895721436
Superbowl,-1.3517982959747314
Thanksgiving,-1.1640527248382568
VMA,-1.3053375482559204
WWE,-1.950946569442749
Xbox,-2.0316474437713623
