Topic,BARTScore
49ers,-3.244612693786621
Amazon,-1.7716506719589233
Beyonce,-1.7947845458984375
Chicago,-1.375081181526184
Christmas,-0.7352809906005859
Eagles,-2.725001096725464
Facebook,-1.2693527936935425
Flu,-2.5619001388549805
Graduation,-1.417590618133545
Grammys,-2.5330512523651123
Iphone,-1.4905492067337036
Kobe,-1.1551486253738403
McDonalds,-1.7424428462982178
NBA,-2.8593873977661133
NYC,-2.605962038040161
Netflix,-1.4617369174957275
Obama,-2.1877472400665283
Paris,-0.7011411190032959
Patriots,-1.3265833854675293
Seahawks,-1.3434882164001465
Superbowl,-2.2411766052246094
Thanksgiving,-1.7308531999588013
VMA,-1.2451415061950684
WWE,-1.9220470190048218
Xbox,-1.272788643836975
