Topic,BLANC-help,BLANC-tune
49ers,0.16532258064516128,0.12701612903225806
Amazon,0.1844106463878327,0.18631178707224336
Beyonce,0.187984496124031,0.11627906976744186
Chicago,0.12962962962962962,0.1259259259259259
Christmas,0.14206642066420663,0.17896678966789667
Eagles,0.18065693430656934,0.1332116788321168
Facebook,0.12237093690248566,0.09177820267686425
Flu,0.10752688172043011,0.05197132616487455
Graduation,0.11222780569514237,0.07537688442211055
Grammys,0.21200750469043153,0.13320825515947468
Iphone,0.12598425196850394,0.1279527559055118
Kobe,0.10921501706484642,0.08191126279863481
McDonalds,0.13584905660377358,0.09811320754716982
NBA,0.11538461538461539,0.08269230769230769
NYC,0.08811475409836066,0.06762295081967214
Netflix,0.17346938775510204,0.17142857142857143
Obama,0.08922558922558922,0.09259259259259259
Paris,0.1419031719532554,0.1352253756260434
Patriots,0.16061185468451242,0.14340344168260039
Seahawks,0.13345521023765997,0.10054844606946983
Superbowl,0.19056603773584907,0.17358490566037735
Thanksgiving,0.1423290203327172,0.12939001848428835
VMA,0.13596491228070176,0.08991228070175439
WWE,0.12845849802371542,0.07114624505928854
Xbox,0.10526315789473684,0.11500974658869395
