Topic,SQA
49ers,0.14223833386253432
Amazon,0.1620850049421478
Beyonce,0.13250158037696738
Chicago,0.08176745176036382
Christmas,0.06615186615186615
Eagles,0.08573035205942907
Facebook,0.057471264367816084
Flu,0.019241546796189054
Graduation,0.046052631578947366
Grammys,0.04057971014492753
Iphone,0.0273224043715847
Kobe,0.08285195151690648
McDonalds,0.05168831168831169
NBA,0.08330006039654234
NYC,0.050106326422115904
Netflix,0.18740105920776895
Obama,0.09840562634319842
Paris,0.08414872798434442
Patriots,0.05631675752337898
Seahawks,0.09193548387096773
Superbowl,0.014227642276422765
Thanksgiving,0.09522121802823556
VMA,0.07263953519649245
WWE,0.06139335306463825
Xbox,0.011111111111111112
