Topic,BARTScore
49ers,-2.231454610824585
Amazon,-1.7239720821380615
Beyonce,-1.6743104457855225
Chicago,-2.4457650184631348
Christmas,-2.3322811126708984
Eagles,-0.7980080246925354
Facebook,-1.2422982454299927
Flu,-2.871269464492798
Graduation,-1.5930445194244385
Grammys,-1.8287142515182495
Iphone,-2.1945650577545166
Kobe,-3.415483236312866
McDonalds,-2.588930368423462
NBA,-1.8840537071228027
NYC,-1.4356786012649536
Netflix,-0.6986470222473145
Obama,-1.227530598640442
Paris,-2.2644236087799072
Patriots,-2.7723934650421143
Seahawks,-2.2440097332000732
Superbowl,-1.9769376516342163
Thanksgiving,-1.6765544414520264
VMA,-2.6750361919403076
WWE,-2.851984977722168
Xbox,-2.8050129413604736
