Topic,Representation Gap
49ers,0.3333333333333333
Amazon,0.0
Beyonce,0.3333333333333333
Chicago,0.0
Christmas,0.3333333333333333
Eagles,0.0
Facebook,0.3333333333333333
Flu,0.0
Graduation,0.0
Grammys,0.0
Iphone,0.6666666666666667
Kobe,0.0
McDonalds,0.3333333333333333
NBA,0.0
NYC,0.3333333333333333
Netflix,0.3333333333333333
Obama,0.3333333333333333
Paris,0.3333333333333333
Patriots,0.3333333333333333
Seahawks,0.3333333333333333
Superbowl,0.3333333333333333
Thanksgiving,0.14285714285714285
VMA,0.0
WWE,0.0
Xbox,0.3333333333333333
