Topic,SUPERT
49ers,0.5406947944198018
Amazon,0.5709458304579295
Beyonce,0.5833325228928036
Chicago,0.44973635530182865
Christmas,0.5781471696849613
Eagles,0.5375169807009896
Facebook,0.6686528690097789
Flu,0.4273904100824452
Graduation,0.511925064803844
Grammys,0.47729461641089516
Iphone,0.5775125646172162
Kobe,0.5529370631944605
McDonalds,0.554570489250741
NBA,0.5329282370859452
NYC,0.5887312235323873
Netflix,0.5330799681906017
Obama,0.48236401089896136
Paris,0.43329644258715183
Patriots,0.5798339751386197
Seahawks,0.5761082881338956
Superbowl,0.47542474595627265
Thanksgiving,0.6452314943650918
VMA,0.4565176840454265
WWE,0.5958302133059474
Xbox,0.6329674352767947
