Topic,coherence,consistency,fluency,overall
49ers,0.5328842004524151,0.3066766697033009,0.7588084625584044,0.5327897775713735
Amazon,0.0670276230132291,0.2955973519478239,0.5689263114180175,0.31051709545969014
Beyonce,0.05102228020450801,0.29421806324519123,0.4570345377478459,0.2674249603991817
Chicago,0.08266480905818976,0.521358264163694,0.6725546618873386,0.42552591170307413
Christmas,0.1833563731542004,0.44901514908807555,0.6044206167894367,0.41226404634390423
Eagles,0.062004455568273456,0.44529801429125876,0.6005415768582189,0.369281348905917
Facebook,0.009811165062586795,0.1661811622080773,0.30046037436066375,0.15881756721044263
Flu,0.27014868076270315,0.5572499044427579,0.7620416532269797,0.5298134128108135
Graduation,0.09760883928984608,0.47419203962486844,0.8089044448856516,0.4602351079334554
Grammys,0.38947817090222137,0.38164467577238337,0.6431908936395441,0.4714379134380496
Iphone,0.0972551529747798,0.34664526894974035,0.6118147756999368,0.351905065874819
Kobe,0.07932155761471457,0.24492470350561257,0.38143635207434995,0.23522753773155905
McDonalds,0.18917120042000396,0.35798171911618404,0.689194907008097,0.4121159421814283
NBA,0.02211399968777166,0.08173372083826934,0.05733966302492641,0.05372912785032247
NYC,0.1541726367065178,0.48274183555216793,0.7147916842483737,0.45056871883568644
Netflix,0.36742740377376754,0.39574880540619317,0.6563151064454831,0.47316377187514796
Obama,0.182026751951904,0.27977734541423405,0.624275585786346,0.36202656105082803
Paris,0.07018232283800109,0.41274311852763645,0.4561907996001908,0.31303874698860945
Patriots,0.3850275255824599,0.5204184536739388,0.6929059873399829,0.5327839888654605
Seahawks,0.05046554761461211,0.3179307665496232,0.48318904832576437,0.2838617874966666
Superbowl,0.5849197204984679,0.42145567179586907,0.5433166750955789,0.5165640224633052
Thanksgiving,0.10808130094372731,0.5169951726824487,0.7020583480442852,0.4423782738901538
VMA,0.3675005000878581,0.5145153822802638,0.6655143702351395,0.5158434175344205
WWE,0.4864244713153905,0.2401881018039641,0.4738133934592489,0.4001419888595345
Xbox,0.06936240337155365,0.33149330150531403,0.35013628534243785,0.25033066340643517
