Topic,BARTScore
49ers,-1.9673067331314087
Amazon,-2.8319175243377686
Beyonce,-1.1350313425064087
Chicago,-1.0528823137283325
Christmas,-2.160273790359497
Eagles,-1.2644075155258179
Facebook,-2.199934482574463
Flu,-2.7821238040924072
Graduation,-0.7975963354110718
Grammys,-1.5450961589813232
Iphone,-0.8234912157058716
Kobe,-1.8585443496704102
McDonalds,-1.6825662851333618
NBA,-3.0424258708953857
NYC,-0.8554221391677856
Netflix,-2.355830192565918
Obama,-2.043680429458618
Paris,-1.721998691558838
Patriots,-0.7041628956794739
Seahawks,-1.1473721265792847
Superbowl,-2.807225227355957
Thanksgiving,-1.5140447616577148
VMA,-1.5880169868469238
WWE,-2.1673929691314697
Xbox,-2.9373130798339844
