Topic,BLANC-help,BLANC-tune
49ers,0.161,0.103
Amazon,0.135,0.135
Beyonce,0.136,0.101
Chicago,0.144,0.135
Christmas,0.146,0.122
Eagles,0.141,0.075
Facebook,0.130,0.107
Flu,0.124,0.065
Graduation,0.147,0.114
Grammys,0.206,0.131
Iphone,0.146,0.132
Kobe,0.162,0.101
McDonalds,0.155,0.149
NBA,0.113,0.075
Netflix,0.139,0.147
NYC,0.109,0.092
Obama,0.135,0.088
Paris,0.134,0.090
Patriots,0.153,0.134
Seahawks,0.144,0.110
Superbowl,0.226,0.168
Thanksgiving,0.165,0.111
VMA,0.088,0.110
WWE,0.140,0.075
Xbox,0.125,0.086
