Topic,SUPERT
49ers,0.4853828968994822
Amazon,0.5062801198916556
Beyonce,0.623657651829618
Chicago,0.44943935952308545
Christmas,0.6680813622408944
Eagles,0.4940012016397074
Facebook,0.5805954119445916
Flu,0.5887483090743444
Graduation,0.6060067304466051
Grammys,0.5603250880488997
Iphone,0.4681636437910571
Kobe,0.5899861332318627
McDonalds,0.5491272506566728
NBA,0.5290878284947744
NYC,0.516698110891062
Netflix,0.5302828414813923
Obama,0.4765951348897396
Paris,0.4757806246469714
Patriots,0.674611262500573
Seahawks,0.4832416794160126
Superbowl,0.45307024848119154
Thanksgiving,0.4462568696256166
VMA,0.46309585810472936
WWE,0.5335649320467506
Xbox,0.6041357585779873
