Topic,BARTScore
49ers,-1.2980815172195435
Amazon,-1.392043948173523
Beyonce,-1.4349894523620605
Chicago,-2.680178165435791
Christmas,-1.569594144821167
Eagles,-1.0532715320587158
Facebook,-2.142871141433716
Flu,-3.4421989917755127
Graduation,-2.85152006149292
Grammys,-1.5154414176940918
Iphone,-1.5232349634170532
Kobe,-0.7013495564460754
McDonalds,-2.2734251022338867
NBA,-2.936281204223633
NYC,-3.221498966217041
Netflix,-0.9650989770889282
Obama,-2.2641096115112305
Paris,-2.48125958442688
Patriots,-1.3717901706695557
Seahawks,-1.1799767017364502
Superbowl,-0.9835103154182434
Thanksgiving,-2.5202369689941406
VMA,-2.8953866958618164
WWE,-2.8919999599456787
Xbox,-1.990662693977356
