Topic,coherence,consistency,fluency,overall
49ers,0.057346327658997234,0.5180574818543145,0.606009967658266,0.39380459239052595
Amazon,0.05879195976786706,0.06442266120811965,0.3616930710819729,0.16163589735265319
Beyonce,0.2935285170567802,0.4344208631802271,0.6683907223515317,0.4654467008628463
Chicago,0.4834930086474623,0.5258646847166961,0.5697253304115321,0.5263610079252302
Christmas,0.14914708865545634,0.3758546817409665,0.47874271231386567,0.3345814942367628
Eagles,0.3558872822115592,0.27228670659009196,0.3811852367653504,0.3364530751890005
Facebook,0.013774141510276292,0.10435230353959818,0.2912417763800005,0.1364560738099583
Flu,0.06532661317273955,0.2539269619101084,0.4564085640952456,0.25855404639269786
Graduation,0.3474503502113905,0.40287378474261054,0.5968210199017466,0.44904838495191585
Grammys,0.06407864236065008,0.3045018456453469,0.5229255244279643,0.2971686708113204
Iphone,0.03499011974925961,0.19736870307137963,0.44014418532668276,0.22416766938244068
Kobe,0.267866423688516,0.38569276652678813,0.5592994298384313,0.4042862066845785
McDonalds,0.318543160594158,0.409979703254852,0.6242234548123483,0.45091543955378616
NBA,0.2800118853050184,0.3043721427394688,0.5344017188212078,0.372928582288565
NYC,0.20647765050446398,0.3611407816097278,0.5446325297279593,0.37075032061405033
Netflix,0.03484890614142412,0.4813035240638107,0.6258947594989115,0.3806823965680488
Obama,0.008531906289905697,0.7098532956139723,0.6280462462570279,0.44881048272030194
Paris,0.5782064107143783,0.3126170432583736,0.5248073068164839,0.4718769202630786
Patriots,0.12303654174598185,0.40917231929914555,0.6818961561007475,0.4047016723819583
Seahawks,0.1323331200913483,0.2955477732170513,0.5891966674201551,0.3390258535761849
Superbowl,0.23847965156837728,0.3221675382797785,0.4257346288059826,0.3287939395513795
Thanksgiving,0.36000170470691334,0.3219919817731574,0.5082534153794355,0.39674903395316874
VMA,0.07779611364843639,0.5179417186992314,0.6324876450136677,0.40940849245377847
WWE,0.09205687287521029,0.29836176318903307,0.6356033574600106,0.34200733117475135
Xbox,0.32541142728361283,0.3255439036159545,0.5752795007588114,0.4087449438861262
