Topic,BARTScore
49ers,-1.747703194618225
Amazon,-0.8407477140426636
Beyonce,-1.3957514762878418
Chicago,-1.8238900899887085
Christmas,-2.6777994632720947
Eagles,-1.4825736284255981
Facebook,-3.108954429626465
Flu,-1.8570120334625244
Graduation,-0.8159900903701782
Grammys,-0.8242552280426025
Iphone,-1.5006964206695557
Kobe,-0.6080421805381775
McDonalds,-0.5937165021896362
NBA,-1.5416452884674072
NYC,-0.9000897407531738
Netflix,-1.567613124847412
Obama,-0.828571081161499
Paris,-1.389034628868103
Patriots,-1.5929560661315918
Seahawks,-1.9543060064315796
Superbowl,-3.2559425830841064
Thanksgiving,-2.4645822048187256
VMA,-2.078430414199829
WWE,-1.3520417213439941
Xbox,-0.8665016293525696
