Topic,Representation Gap
49ers,0.6666666666666667
Amazon,0.0
Beyonce,0.0
Chicago,0.3333333333333333
Christmas,0.0
Eagles,0.6666666666666667
Facebook,0.3333333333333333
Flu,0.6666666666666667
Graduation,0.3333333333333333
Grammys,0.0
Iphone,0.3333333333333333
Kobe,0.6666666666666667
McDonalds,0.6666666666666667
NBA,0.3333333333333333
NYC,0.3333333333333333
Netflix,0.6666666666666667
Obama,0.3333333333333333
Paris,0.6666666666666667
Patriots,0.3333333333333333
Seahawks,0.0
Superbowl,0.3333333333333333
Thanksgiving,0.6666666666666667
VMA,0.3333333333333333
WWE,0.3333333333333333
Xbox,0.3333333333333333
