Topic,coherence,consistency,fluency,overall
49ers,0.08123622925493103,0.26683587107257184,0.6849184648910066,0.3443301884061698
Amazon,0.16156662130515853,0.4549038829955943,0.7900287364304702,0.46883308024374104
Beyonce,0.34678387912199554,0.41152402098275737,0.6317511266549177,0.46335300891989023
Chicago,0.13162959247689637,0.3845169487742681,0.5062007144765026,0.34078241857588903
Christmas,0.3697008769088904,0.4661410908379538,0.741683381547011,0.5258417830979517
Eagles,0.05541656489447843,0.28628151396717877,0.5129485114570513,0.2848821967729029
Facebook,0.3319093608428844,0.20408422499288958,0.6324235783081171,0.38947238804796375
Flu,0.2722459600280979,0.2881682649972181,0.698759316392425,0.41972451380591363
Graduation,0.0690820999118249,0.2502124179371093,0.42932477425069554,0.2495397640332099
Grammys,0.06394317043456756,0.09570563990170311,0.3287059052856416,0.16278490520730407
Iphone,0.23947255637267564,0.25543705166465325,0.4734012526801347,0.32277028690582116
Kobe,0.22306960734515655,0.4584980957558933,0.5829063662523093,0.42149135645111974
McDonalds,0.030757611316731544,0.12392675137618173,0.21121181694973085,0.12196539321421469
NBA,0.2582786241166719,0.2989797611916439,0.6113478305696575,0.3895354052926578
NYC,0.21235183556969153,0.414288851958252,0.7748890852305198,0.4671765909194878
Netflix,0.06008357964762121,0.31503380449672036,0.43413515022473964,0.26975084478969374
Obama,0.44119953775075255,0.312993167170079,0.6369585319517576,0.4637170789575297
Paris,0.5383083329560833,0.3293447899189884,0.49945668863653186,0.4557032705038679
Patriots,0.5357302801255679,0.517117787482867,0.762384187986813,0.6050774185317492
Seahawks,0.03534988333337351,0.16829555451732622,0.2876876001263166,0.1637776793256721
Superbowl,0.17317045552403115,0.3437706162188844,0.43346731647188497,0.31680279607160017
Thanksgiving,0.2961639848844778,0.3366754986493034,0.5179934740138374,0.3836109858492062
VMA,0.01726536762688757,0.5016977209307582,0.6599696152273559,0.3929775679283338
WWE,0.15655842002993997,0.2513204901569881,0.31929987487522843,0.24239292835405216
Xbox,0.2743858131173363,0.2576280458598289,0.5850374532912347,0.3723504374228
