Topic,BARTScore
49ers,-1.377217173576355
Amazon,-1.8483998775482178
Beyonce,-2.412781238555908
Chicago,-0.8159863948822021
Christmas,-1.4198368787765503
Eagles,-1.6710052490234375
Facebook,-1.5870027542114258
Flu,-1.79827880859375
Graduation,-1.3007583618164062
Grammys,-0.6587594747543335
Iphone,-1.5286407470703125
Kobe,-2.3376646041870117
McDonalds,-1.7418699264526367
NBA,-1.8584808111190796
NYC,-1.5110386610031128
Netflix,-2.214730978012085
Obama,-1.9795259237289429
Paris,-3.0862789154052734
Patriots,-1.2792671918869019
Seahawks,-1.8702017068862915
Superbowl,-1.0305006504058838
Thanksgiving,-1.0007085800170898
VMA,-1.8851557970046997
WWE,-2.4897124767303467
Xbox,-1.933659315109253
