Topic,SQA
49ers,0.15683674422732272
Amazon,0.1264667847466307
Beyonce,0.0843545766402909
Chicago,0.07962465153325368
Christmas,0.08129672833348754
Eagles,0.1230576441102757
Facebook,0.014285714285714287
Flu,0.1283068783068783
Graduation,0.03773584905660377
Grammys,0.05660377358490566
Iphone,0.014444444444444444
Kobe,0.0661447696845927
McDonalds,0.027290448343079924
NBA,0.05395293366388701
NYC,0.0943107713533384
Netflix,0.12173398368917923
Obama,0.14743514556205373
Paris,0.08772632338421812
Patriots,0.09149767758015181
Seahawks,0.057836476676123065
Superbowl,0.0410958904109589
Thanksgiving,0.035995160314579555
VMA,0.017559523809523806
WWE,0.023799174092588568
Xbox,0.05128205128205128
