Topic,BARTScore
49ers,-2.1763756275177
Amazon,-2.1017065048217773
Beyonce,-0.6377638578414917
Chicago,-1.7431672811508179
Christmas,-1.8539329767227173
Eagles,-1.6148877143859863
Facebook,-1.2199255228042603
Flu,-1.9339911937713623
Graduation,-2.594810962677002
Grammys,-1.0705913305282593
Iphone,-1.8251031637191772
Kobe,-2.983745813369751
McDonalds,-1.6676844358444214
NBA,-1.3952940702438354
NYC,-0.5384534001350403
Netflix,-2.6425859928131104
Obama,-2.03253173828125
Paris,-0.8589965105056763
Patriots,-2.1448965072631836
Seahawks,-2.8466296195983887
Superbowl,-0.8954558968544006
Thanksgiving,-1.736219048500061
VMA,-1.9138221740722656
WWE,-2.9026734828948975
Xbox,-2.7943506240844727
