Topic,BARTScore
49ers,-1.067086935043335
Amazon,-1.9457975625991821
Beyonce,-1.355535626411438
Chicago,-0.738176703453064
Christmas,-1.4375954866409302
Eagles,-0.9947992563247681
Facebook,-1.4266138076782227
Flu,-0.8939498662948608
Graduation,-1.3621386289596558
Grammys,-2.235713243484497
Iphone,-1.7948662042617798
Kobe,-1.2741779088974
McDonalds,-1.3669346570968628
NBA,-0.6947922706604004
NYC,-1.685652732849121
Netflix,-1.591636061668396
Obama,-1.0688661336898804
Paris,-1.5184425115585327
Patriots,-0.9950683116912842
Seahawks,-0.9887335300445557
Superbowl,-0.9887610077857971
Thanksgiving,-2.2861530780792236
VMA,-0.7649317979812622
WWE,-2.285149574279785
Xbox,-0.7143988609313965
