Topic,SQA
49ers,0.0880494844822539
Amazon,0.21068376068376068
Beyonce,0.006736578608988882
Chicago,0.0891614558281225
Christmas,0.07126094465838057
Eagles,0.07173936754847425
Facebook,0.041666666666666664
Flu,0.01984126984126984
Graduation,0.06981132075471698
Grammys,0.020754716981132078
Iphone,0.0016723163841807908
Kobe,0.11189796608896142
McDonalds,0.017765933821896514
NBA,0.044367971655553354
NYC,0.05171584762406329
Netflix,0.07861996336996337
Obama,0.07867563471011749
Paris,0.08094468477128894
Patriots,0.0581751003157235
Seahawks,0.04324244799134611
Superbowl,0.0730593607305936
Thanksgiving,0.17064380408033658
VMA,0.03125
WWE,0.024104524933080653
Xbox,0.06837606837606837
