Topic,SUPERT
49ers,0.6133258287331593
Amazon,0.6815209047105463
Beyonce,0.5079825630058913
Chicago,0.49220468680907153
Christmas,0.5768142544699704
Eagles,0.5418151135049972
Facebook,0.5528809913008139
Flu,0.45526068882556703
Graduation,0.6463945140304059
Grammys,0.5115563869475357
Iphone,0.5064452664132405
Kobe,0.6444573456088984
McDonalds,0.5742089911854258
NBA,0.5750096743639851
NYC,0.43958064695377314
Netflix,0.6447986986537501
Obama,0.510111350247383
Paris,0.57394249844309
Patriots,0.4911399961619831
Seahawks,0.5828589205202801
Superbowl,0.43675810950382193
Thanksgiving,0.5411963964263865
VMA,0.44533879510818203
WWE,0.5026486111159574
Xbox,0.695341590037919
