Topic,BARTScore
49ers,-2.1525471210479736
Amazon,-1.484964370727539
Beyonce,-0.7752978205680847
Chicago,-2.188300132751465
Christmas,-0.7848266959190369
Eagles,-2.2617111206054688
Facebook,-1.204288363456726
Flu,-2.3957395553588867
Graduation,-2.5901429653167725
Grammys,-1.5998742580413818
Iphone,-1.459840178489685
Kobe,-0.9696657061576843
McDonalds,-1.2031670808792114
NBA,-1.365132212638855
NYC,-1.2110532522201538
Netflix,-1.8358924388885498
Obama,-1.2361950874328613
Paris,-1.4090789556503296
Patriots,-1.373647689819336
Seahawks,-2.0764496326446533
Superbowl,-0.6902872323989868
Thanksgiving,-1.6401606798171997
VMA,-2.3482437133789062
WWE,-2.2126779556274414
Xbox,-2.8207476139068604
