Topic,BARTScore
49ers,-2.4634110927581787
Amazon,-1.397907018661499
Beyonce,-1.0500025749206543
Chicago,-2.487553358078003
Christmas,-2.048470973968506
Eagles,-1.4035634994506836
Facebook,-1.4140293598175049
Flu,-1.3423576354980469
Graduation,-1.5947905778884888
Grammys,-1.9849799871444702
Iphone,-1.6527758836746216
Kobe,-2.468222141265869
McDonalds,-0.6903150081634521
NBA,-2.895786762237549
NYC,-1.831188678741455
Netflix,-1.0920727252960205
Obama,-1.4488177299499512
Paris,-0.708194375038147
Patriots,-2.700226068496704
Seahawks,-1.6896157264709473
Superbowl,-3.550158739089966
Thanksgiving,-1.5390921831130981
VMA,-2.3816473484039307
WWE,-3.512402296066284
Xbox,-1.5549283027648926
