Topic,BLANC-help,BLANC-tune
49ers,0.16470588235294117,0.13137254901960785
Amazon,0.15217391304347827,0.1857707509881423
Beyonce,0.15630885122410546,0.09792843691148775
Chicago,0.11888111888111888,0.10839160839160839
Christmas,0.18992248062015504,0.17248062015503876
Eagles,0.20152091254752852,0.1844106463878327
Facebook,0.12452107279693486,0.09961685823754789
Flu,0.10119047619047619,0.05555555555555555
Graduation,0.08333333333333333,0.0946969696969697
Grammys,0.18055555555555555,0.1388888888888889
Iphone,0.13878326996197718,0.13688212927756654
Kobe,0.16970802919708028,0.12043795620437957
McDonalds,0.13827655310621242,0.1402805611222445
NBA,0.12159709618874773,0.07078039927404718
NYC,0.12578616352201258,0.07547169811320754
Netflix,0.12915851272015655,0.13894324853228962
Obama,0.1542649727767695,0.16696914700544466
Paris,0.12456140350877193,0.11228070175438597
Patriots,0.16412213740458015,0.10687022900763359
Seahawks,0.13133208255159476,0.13320825515947468
Superbowl,0.1791907514450867,0.17148362235067438
Thanksgiving,0.1268939393939394,0.1553030303030303
VMA,0.11739130434782609,0.06739130434782609
WWE,0.1101871101871102,0.04781704781704782
Xbox,0.12922465208747516,0.12922465208747516
