Topic,SUPERT
49ers,0.6431801228204096
Amazon,0.6544385427074352
Beyonce,0.5908325891725726
Chicago,0.6933472871488745
Christmas,0.6404782187385748
Eagles,0.5928922254330382
Facebook,0.567766141261393
Flu,0.5359535630388986
Graduation,0.6341773446340663
Grammys,0.720772989013172
Iphone,0.6362936475932376
Kobe,0.6798209281286128
McDonalds,0.745658934283751
NBA,0.6889903993634283
NYC,0.617257596012148
Netflix,0.6720062658966859
Obama,0.5725397969749434
Paris,0.6024520077338938
Patriots,0.6394413905496712
Seahawks,0.578343489372532
Superbowl,0.48637845096438775
Thanksgiving,0.5539700908313105
VMA,0.634198225889429
WWE,0.6457441630387121
Xbox,0.6974909183817521
