Topic,BARTScore
49ers,-0.6693434715270996
Amazon,-0.8721542954444885
Beyonce,-0.9366573095321655
Chicago,-0.5964191555976868
Christmas,-0.5686684250831604
Eagles,-0.7291606068611145
Facebook,-1.7955855131149292
Flu,-1.1701819896697998
Graduation,-0.7361790537834167
Grammys,-0.5007565021514893
Iphone,-0.561034619808197
Kobe,-0.47911226749420166
McDonalds,-0.4685019850730896
NBA,-0.6174317598342896
NYC,-0.8152020573616028
Netflix,-0.9831592440605164
Obama,-0.6289454102516174
Paris,-0.708240807056427
Patriots,-0.5627360939979553
Seahawks,-1.6534231901168823
Superbowl,-1.1148914098739624
Thanksgiving,-1.704594373703003
VMA,-0.7003509998321533
WWE,-0.8067522048950195
Xbox,-0.63465815782547
