Topic,SQA
49ers,0.17287137077053039
Amazon,0.10720372764490413
Beyonce,0.16402908914873018
Chicago,0.053125
Christmas,0.09689405514846751
Eagles,0.10646051752246441
Facebook,0.04279279279279279
Flu,0.07142857142857142
Graduation,0.04838709677419355
Grammys,0.03333333333333333
Iphone,0.006255580168623648
Kobe,0.09829610650478743
McDonalds,0.050617283950617285
NBA,0.04698535745047373
NYC,0.06332904912199722
Netflix,0.16108636207477708
Obama,0.04686504068952878
Paris,0.06280245576020223
Patriots,0.07960032832611984
Seahawks,0.11137178233952427
Superbowl,0.04155982905982906
Thanksgiving,0.05086399108138238
VMA,0.039603960396039604
WWE,0.071976401179941
Xbox,0.021739130434782608
